User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000861,P0093342,F,55+,8,C,4+,1,10,18.0,11.0,13888
1003773,P0095742,M,26-35,2,B,4+,1,15,17.0,6.0,2541
1003093,P0034442,F,0-17,14,B,4+,1,7,10.0,15.0,9555
1000467,P0091742,M,0-17,4,C,3,1,15,2.0,6.0,145
1004427,P0062542,M,36-45,0,A,2,0,1,4.0,,17720
1003445,P0062742,M,36-45,10,B,3,0,8,12.0,11.0,18800
1003172,P0052642,M,18-25,18,A,1,1,5,9.0,14.0,1558
1002920,P0014142,F,36-45,4,B,0,1,6,18.0,17.0,10422
1000131,P0056442,M,51-55,16,B,0,0,4,13.0,,17467
1001686,P0072142,M,0-17,18,A,1,1,15,3.0,,14621
1000770,P0037742,M,18-25,16,A,0,0,4,11.0,12.0,7265
1002392,P0093542,M,0-17,4,B,4+,1,3,18.0,13.0,4092
1002434,P0011842,F,46-50,19,C,4+,1,16,,6.0,18746
1001185,P0016542,M,46-50,8,C,4+,0,16,5.0,7.0,13456
1004556,P0026642,M,18-25,5,C,1,0,8,4.0,,16016
1003386,P0068442,F,26-35,20,C,2,0,6,9.0,13.0,5344
1004118,P0050242,M,51-55,12,C,1,1,13,3.0,,2272
1004844,P0092142,F,55+,20,A,2,1,9,16.0,16.0,6947
1002905,P0050842,M,51-55,10,B,0,0,9,10.0,10.0,18962
1000475,P0021142,M,55+,0,C,0,0,11,5.0,,14661
1001083,P0037342,F,36-45,16,B,0,1,8,4.0,14.0,275
1002559,P0050642,F,55+,5,A,2,0,13,,,2900
1002048,P0047242,M,18-25,2,B,0,1,1,2.0,12.0,19051
1002748,P0069642,M,51-55,15,A,1,0,17,3.0,9.0,16133
1000976,P0075042,F,55+,12,B,2,0,6,6.0,13.0,2199
1001807,P0013842,M,36-45,11,B,4+,1,12,3.0,,13492
1000190,P0020442,M,0-17,10,A,2,1,4,14.0,,14955
1002735,P0042342,M,55+,1,B,1,0,16,6.0,,6561
1003006,P0089242,M,26-35,18,A,1,1,3,11.0,,11172
1004659,P0051342,M,36-45,7,B,1,1,17,,11.0,7336
1001900,P0052842,F,46-50,12,B,0,1,18,18.0,17.0,4542
1001268,P0073442,M,55+,13,C,4+,0,18,4.0,,11450
1001529,P0082942,F,46-50,14,B,4+,0,18,3.0,,16473
1003203,P0098842,M,0-17,16,C,3,1,8,15.0,13.0,5027
1003557,P0016042,M,18-25,14,C,1,1,8,6.0,15.0,8279
1003891,P0071142,M,36-45,20,A,0,0,13,17.0,10.0,13535
1000647,P0040642,M,55+,9,A,2,1,12,10.0,,19691
1002889,P0045342,M,55+,0,B,0,0,15,5.0,,11232
1002436,P0049242,M,0-17,11,A,1,0,10,,17.0,17995
1000601,P0030342,F,55+,8,C,0,0,9,3.0,18.0,17829
1002364,P0035742,M,46-50,4,B,1,0,3,4.0,,3888
1002062,P0058542,M,55+,14,A,2,0,10,18.0,,1844
1000242,P0061642,F,55+,2,A,2,1,17,11.0,6.0,13517
1002042,P0054542,F,46-50,18,A,4+,1,15,,,10963
1002825,P0080842,M,46-50,6,C,3,1,10,4.0,7.0,6870
1002613,P0027942,M,26-35,6,A,0,0,14,5.0,6.0,15014
1001364,P0044142,M,26-35,6,B,3,0,16,2.0,14.0,1509
1001479,P0023242,F,46-50,1,B,0,1,6,6.0,15.0,13042
1002557,P0054242,M,51-55,1,B,4+,1,7,15.0,5.0,6378
1000776,P0093542,M,18-25,11,C,4+,0,10,16.0,15.0,14623
1004015,P0035242,F,26-35,4,A,2,0,18,10.0,7.0,4459
1000035,P0036442,F,36-45,3,B,2,1,9,7.0,16.0,4843
1003153,P0019242,F,26-35,6,A,2,1,2,16.0,,4993
1001956,P0076142,M,36-45,15,A,0,0,9,5.0,5.0,13239
1001586,P0051042,M,26-35,2,B,3,0,4,17.0,12.0,8985
1003944,P0023742,M,46-50,20,C,3,0,11,17.0,8.0,12767
1003074,P0030742,M,55+,1,B,2,0,17,10.0,17.0,15128
1001022,P0073642,M,36-45,16,B,4+,0,3,5.0,,833
1003462,P0084542,M,55+,8,C,3,1,15,14.0,7.0,13824
1002614,P0067242,M,55+,19,A,4+,0,2,,,860
1003844,P0040642,M,18-25,7,A,2,1,16,12.0,5.0,18041
1001501,P0036542,F,26-35,11,C,0,0,4,11.0,16.0,12890
1004799,P0074542,F,26-35,6,B,1,0,18,,,9953
1000162,P0041742,F,46-50,13,C,3,0,10,12.0,,12483
1004298,P0021242,F,36-45,15,B,2,0,6,2.0,,13605
1001982,P0047742,M,51-55,0,C,2,0,11,12.0,13.0,990
1000996,P0055342,M,46-50,9,A,3,0,10,10.0,,6441
1004912,P0029042,M,55+,10,C,1,1,1,7.0,14.0,2766
1003343,P0099042,M,36-45,6,C,0,0,16,8.0,11.0,7886
1004552,P0053942,F,26-35,17,B,3,0,5,,11.0,2566
